"country","iso3","hdicode","region","gii_2010","gii_2011","gii_2012","gii_2013","gii_2014","gii_2015","gii_2016","gii_2017","gii_2018","gii_2019","inequality_difference"
"Afghanistan","AFG","Low","SA",0.707,0.718,0.734,0.712,0.692,0.692,0.688,0.681,0.678,0.676,-0.0309999999999999
"Albania","ALB","High","ECA",0.192,0.194,0.196,0.191,0.186,0.178,0.161,0.145,0.139,0.131,-0.061
"Algeria","DZA","High","AS",0.517,0.508,0.425,0.422,0.417,0.409,0.407,0.417,0.405,0.397,-0.12
"Andorra","AND","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO","Medium","SSA",0.554,0.546,0.548,0.549,0.553,0.548,0.543,0.547,0.537,0.533,-0.021
"Antigua and Barbuda","ATG","Very High","LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG","Very High","LAC",0.372,0.366,0.358,0.356,0.349,0.34,0.337,0.325,0.303,0.291,-0.081
"Armenia","ARM","High","ECA",0.346,0.342,0.325,0.31,0.314,0.299,0.295,0.254,0.24,0.219,-0.127
"Australia","AUS","Very High",NA,0.136,0.131,0.13,0.123,0.117,0.111,0.101,0.096,0.092,0.08,-0.056
"Austria","AUT","Very High",NA,0.11,0.103,0.097,0.086,0.082,0.084,0.082,0.072,0.061,0.053,-0.057
"Azerbaijan","AZE","High","ECA",0.342,0.341,0.341,0.343,0.347,0.342,0.328,0.314,0.312,0.317,-0.025
"Bahamas","BHS","Very High","LAC",0.369,0.382,0.392,0.359,0.382,0.366,0.356,0.333,0.332,0.335,-0.034
"Bahrain","BHR","Very High","AS",0.259,0.246,0.242,0.239,0.231,0.241,0.236,0.236,0.203,0.194,-0.065
"Bangladesh","BGD","Medium","SA",0.602,0.595,0.581,0.576,0.567,0.559,0.554,0.538,0.531,0.521,-0.081
"Barbados","BRB","Very High","LAC",0.35,0.348,0.346,0.335,0.33,0.334,0.332,0.333,0.315,0.309,-0.041
